(0, 0) (1, 19) (2, 998) 
(0, 0) (1, 24) (2, 17) 
(0, 0) (1, 24) (2, 45) 
(0, 0) (1, 24) (2, 71) 
(0, 0) (1, 24) (2, 76) 
(0, 0) (1, 24) (2, 78) 
(0, 0) (1, 24) (2, 94) 
(0, 0) (1, 24) (2, 134) 
(0, 0) (1, 24) (2, 221) 
(0, 0) (1, 24) (2, 235) 
(0, 0) (1, 24) (2, 243) 
(0, 0) (1, 24) (2, 276) 
(0, 0) (1, 24) (2, 317) 
(0, 0) (1, 24) (2, 321) 
(0, 0) (1, 24) (2, 325) 
(0, 0) (1, 24) (2, 341) 
(0, 0) (1, 24) (2, 347) 
(0, 0) (1, 24) (2, 356) 
(0, 0) (1, 24) (2, 379) 
(0, 0) (1, 24) (2, 383) 
(0, 0) (1, 24) (2, 400) 
(0, 0) (1, 24) (2, 402) 
(0, 0) (1, 24) (2, 420) 
(0, 0) (1, 24) (2, 430) 
(0, 0) (1, 24) (2, 437) 
(0, 0) (1, 24) (2, 441) 
(0, 0) (1, 24) (2, 459) 
(0, 0) (1, 24) (2, 462) 
(0, 0) (1, 24) (2, 479) 
(0, 0) (1, 24) (2, 505) 
(0, 0) (1, 24) (2, 537) 
(0, 0) (1, 24) (2, 539) 
(0, 0) (1, 24) (2, 555) 
(0, 0) (1, 24) (2, 591) 
(0, 0) (1, 24) (2, 598) 
(0, 0) (1, 24) (2, 633) 
(0, 0) (1, 24) (2, 642) 
(0, 0) (1, 24) (2, 650) 
(0, 0) (1, 24) (2, 651) 
(0, 0) (1, 24) (2, 661) 
(0, 0) (1, 24) (2, 699) 
(0, 0) (1, 24) (2, 739) 
(0, 0) (1, 24) (2, 740) 
(0, 0) (1, 24) (2, 751) 
(0, 0) (1, 24) (2, 807) 
(0, 0) (1, 24) (2, 812) 
(0, 0) (1, 24) (2, 846) 
(0, 0) (1, 24) (2, 853) 
(0, 0) (1, 24) (2, 919) 
(0, 0) (1, 24) (2, 928) 
(0, 0) (1, 24) (2, 974) 
(0, 0) (1, 24) (2, 989) 
(0, 0) (1, 24) (2, 998) 
(0, 0) (1, 25) (2, 6) 
(0, 0) (1, 25) (2, 39) 
(0, 0) (1, 25) (2, 52) 
(0, 0) (1, 25) (2, 94) 
(0, 0) (1, 25) (2, 100) 
(0, 0) (1, 25) (2, 126) 
(0, 0) (1, 25) (2, 135) 
(0, 0) (1, 25) (2, 181) 
(0, 0) (1, 25) (2, 183) 
(0, 0) (1, 25) (2, 185) 
(0, 0) (1, 25) (2, 241) 
(0, 0) (1, 25) (2, 267) 
(0, 0) (1, 25) (2, 298) 
(0, 0) (1, 25) (2, 317) 
(0, 0) (1, 25) (2, 347) 
(0, 0) (1, 25) (2, 356) 
(0, 0) (1, 25) (2, 379) 
(0, 0) (1, 25) (2, 383) 
(0, 0) (1, 25) (2, 390) 
(0, 0) (1, 25) (2, 402) 
(0, 0) (1, 25) (2, 417) 
(0, 0) (1, 25) (2, 479) 
(0, 0) (1, 25) (2, 537) 
(0, 0) (1, 25) (2, 539) 
(0, 0) (1, 25) (2, 544) 
(0, 0) (1, 25) (2, 565) 
(0, 0) (1, 25) (2, 583) 
(0, 0) (1, 25) (2, 585) 
(0, 0) (1, 25) (2, 598) 
(0, 0) (1, 25) (2, 601) 
(0, 0) (1, 25) (2, 606) 
(0, 0) (1, 25) (2, 612) 
(0, 0) (1, 25) (2, 633) 
(0, 0) (1, 25) (2, 670) 
(0, 0) (1, 25) (2, 689) 
(0, 0) (1, 25) (2, 691) 
(0, 0) (1, 25) (2, 701) 
(0, 0) (1, 25) (2, 769) 
(0, 0) (1, 25) (2, 805) 
(0, 0) (1, 25) (2, 825) 
(0, 0) (1, 25) (2, 840) 
(0, 0) (1, 25) (2, 918) 
(0, 0) (1, 25) (2, 959) 
(0, 0) (1, 25) (2, 987) 
(0, 0) (1, 25) (2, 990) 
(0, 0) (1, 36) (2, 17) 
(0, 0) (1, 36) (2, 38) 
(0, 0) (1, 36) (2, 73) 
(0, 0) (1, 36) (2, 78) 
(0, 0) (1, 36) (2, 134) 
(0, 0) (1, 36) (2, 135) 
(0, 0) (1, 36) (2, 162) 
(0, 0) (1, 36) (2, 165) 
(0, 0) (1, 36) (2, 181) 
(0, 0) (1, 36) (2, 185) 
(0, 0) (1, 36) (2, 189) 
(0, 0) (1, 36) (2, 190) 
(0, 0) (1, 36) (2, 241) 
(0, 0) (1, 36) (2, 243) 
(0, 0) (1, 36) (2, 276) 
(0, 0) (1, 36) (2, 309) 
(0, 0) (1, 36) (2, 338) 
(0, 0) (1, 36) (2, 346) 
(0, 0) (1, 36) (2, 379) 
(0, 0) (1, 36) (2, 383) 
(0, 0) (1, 36) (2, 387) 
(0, 0) (1, 36) (2, 407) 
(0, 0) (1, 36) (2, 417) 
(0, 0) (1, 36) (2, 425) 
(0, 0) (1, 36) (2, 430) 
(0, 0) (1, 36) (2, 439) 
(0, 0) (1, 36) (2, 521) 
(0, 0) (1, 36) (2, 534) 
(0, 0) (1, 36) (2, 535) 
(0, 0) (1, 36) (2, 587) 
(0, 0) (1, 36) (2, 625) 
(0, 0) (1, 36) (2, 634) 
(0, 0) (1, 36) (2, 636) 
(0, 0) (1, 36) (2, 658) 
(0, 0) (1, 36) (2, 667) 
(0, 0) (1, 36) (2, 689) 
(0, 0) (1, 36) (2, 691) 
(0, 0) (1, 36) (2, 726) 
(0, 0) (1, 36) (2, 812) 
(0, 0) (1, 36) (2, 827) 
(0, 0) (1, 36) (2, 840) 
(0, 0) (1, 36) (2, 868) 
(0, 0) (1, 36) (2, 909) 
(0, 0) (1, 36) (2, 928) 
(0, 0) (1, 36) (2, 929) 
(0, 0) (1, 36) (2, 988) 
(0, 0) (1, 36) (2, 998) 
(0, 0) (1, 38) (2, 1) 
(0, 0) (1, 38) (2, 36) 
(0, 0) (1, 38) (2, 94) 
(0, 0) (1, 38) (2, 126) 
(0, 0) (1, 38) (2, 130) 
(0, 0) (1, 38) (2, 162) 
(0, 0) (1, 38) (2, 185) 
(0, 0) (1, 38) (2, 189) 
(0, 0) (1, 38) (2, 229) 
(0, 0) (1, 38) (2, 235) 
(0, 0) (1, 38) (2, 237) 
(0, 0) (1, 38) (2, 243) 
(0, 0) (1, 38) (2, 269) 
(0, 0) (1, 38) (2, 298) 
(0, 0) (1, 38) (2, 317) 
(0, 0) (1, 38) (2, 321) 
(0, 0) (1, 38) (2, 354) 
(0, 0) (1, 38) (2, 356) 
(0, 0) (1, 38) (2, 379) 
(0, 0) (1, 38) (2, 383) 
(0, 0) (1, 38) (2, 400) 
(0, 0) (1, 38) (2, 425) 
(0, 0) (1, 38) (2, 430) 
(0, 0) (1, 38) (2, 437) 
(0, 0) (1, 38) (2, 463) 
(0, 0) (1, 38) (2, 481) 
(0, 0) (1, 38) (2, 500) 
